CountryCode,Year,GDPFactor
AFG,2017,1
AFG,2018,1.026643578
AFG,2019,1.057821748646233
AFG,2020,1.0688249798705098
AFG,2021,1.1219269699206997
AFG,2022,1.1722904634499518
AFG,2023,1.2192519680839284
AFG,2024,1.2680415865393262
AFG,2025,1.3187632500008992
AFG,2026,1.3715137800009352
AFG,2027,1.4263743312009727
AFG,2028,1.4834293044490117
AFG,2029,1.5427664766269722
AFG,2030,1.604477135692051
AFG,2031,1.6686562211197333
AFG,2032,1.7354024699645225
AFG,2033,1.8048185687631035
ALB,2017,1
ALB,2018,1.040622773
ALB,2019,1.0690600890079305
ALB,2020,1.0529706053120904
ALB,2021,1.1250795981311523
ALB,2022,1.1839352773550451
ALB,2023,1.2215030532229996
ALB,2024,1.2667903680909651
ALB,2025,1.3139229112927664
ALB,2026,1.3628090805755881
ALB,2027,1.413514121823126
ALB,2028,1.4661057084749758
ALB,2029,1.5206540318469313
ALB,2030,1.5772318948117625
ALB,2031,1.6359148089655087
ALB,2032,1.6967810954089628
ALB,2033,1.759911989278863
DZA,2017,1
DZA,2018,1.014
DZA,2019,1.021100486328
DZA,2020,0.9899062861429795
DZA,2021,1.0341535400109825
DZA,2022,1.0548373285137589
DZA,2023,1.0675905881828704
DZA,2024,1.0787829431469138
DZA,2025,1.0904436730331792
DZA,2026,1.1022304455328769
DZA,2027,1.1141446230599
DZA,2028,1.126187582754682
DZA,2029,1.1383607166433773
DZA,2030,1.1506654317987655
DZA,2031,1.1631031505028895
DZA,2032,1.1756753104114572
DZA,2033,1.1883833647200173
AGO,2017,1
AGO,2018,0.988
AGO,2019,0.97631360008
AGO,2020,0.9643992214981213
AGO,2021,0.9871972902342024
AGO,2022,1.019763181499825
AGO,2023,1.0607567232139912
AGO,2024,1.1011126166033889
AGO,2025,1.1418075906423353
AGO,2026,1.1840065715258667
AGO,2027,1.2277651444126418
AGO,2028,1.2731409487803365
AGO,2029,1.3201937543492668
AGO,2030,1.3689855398120012
AGO,2031,1.4195805744726646
AGO,2032,1.4720455029034738
AGO,2033,1.52644943273001
AIA,2017,1
AIA,2018,1.109027974
AIA,2019,1.2298656147814
AIA,2020,1.1095847576557791
AIA,2021,1.195577576374102
AIA,2022,1.2523675112518717
AIA,2023,1.2930694553675575
AIA,2024,1.3253961917517463
AIA,2025,1.348590625107402
AIA,2026,1.3721909610467817
AIA,2027,1.3962043028651003
AIA,2028,1.4206378781652398
AIA,2029,1.4454990410331316
AIA,2030,1.4707952742512116
AIA,2031,1.4965341915506079
AIA,2032,1.5227235399027435
AIA,2033,1.5493712018510417
ATG,2017,1
ATG,2018,1.073891972
ATG,2019,1.1304267163239716
ATG,2020,1.017411450756885
ATG,2021,1.0983865952927032
ATG,2022,1.1333914775108072
ATG,2023,1.1689561052136963
ATG,2024,1.20128779454536
ATG,2025,1.233456443712959
ATG,2026,1.266486520087233
ATG,2027,1.3004010913707935
ATG,2028,1.3352238429840335
ATG,2029,1.3709790946066662
ATG,2030,1.407691817162218
ATG,2031,1.445387650257342
ATG,2032,1.4840929200881285
ATG,2033,1.523834657825921
ARG,2017,1
ARG,2018,0.975658717
ARG,2019,0.9550336400327819
ARG,2020,0.9453319441709798
ARG,2021,0.9332197916657503
ARG,2022,0.9465941508531058
ARG,2023,0.9682060208175276
ARG,2024,0.9982212982124101
ARG,2025,1.0301634603933916
ARG,2026,1.063127742345433
ARG,2027,1.0971468509598363
ARG,2028,1.1322545397183013
ARG,2029,1.1684856421828558
ARG,2030,1.2058761065574308
ARG,2031,1.2444630313553744
ARG,2032,1.2842847022082944
ARG,2033,1.325380629852749
ARM,2017,1
ARM,2018,1.0523762269999999
ARM,2019,1.1323206563953354
ARM,2020,1.1542870509560819
ARM,2021,1.2194183418984532
ARM,2022,1.2809081922241174
ARM,2023,1.3390941616026693
ARM,2024,1.3999232611080126
ARM,2025,1.4635155564010238
ARM,2026,1.5299965671922209
ARM,2027,1.5994975149950121
ARM,2028,1.6721555821332739
ARM,2029,1.7481141825144928
ARM,2030,1.8275232447029275
ARM,2031,1.9105395078515286
ARM,2032,1.9973268310767298
ARM,2033,2.088056516886762
AUS,2017,1
AUS,2018,1.02730304
AUS,2019,1.0462732590287618
AUS,2020,0.9765358463686358
AUS,2021,1.0362165524005955
AUS,2022,1.0962449575726365
AUS,2023,1.1411929357054649
AUS,2024,1.1785430084859598
AUS,2025,1.2114736085564997
AUS,2026,1.245324348505854
AUS,2027,1.280120938688367
AUS,2028,1.3158898078516794
AUS,2029,1.3526581232099215
AUS,2030,1.390453811077789
AUS,2031,1.4293055780811705
AUS,2032,1.4692429329604375
AUS,2033,1.5102962089829592
AUT,2017,1
AUT,2018,1.024197664
AUT,2019,1.040427919541875
AUT,2020,0.9676266289631273
AUT,2021,1.0112637267221694
AUT,2022,1.0269383144863629
AUT,2023,1.0429585521923503
AUT,2024,1.059228705606551
AUT,2025,1.076176364896256
AUT,2026,1.093395186734596
AUT,2027,1.1108895097223495
AUT,2028,1.128663741877907
AUT,2029,1.1467223617479536
AUT,2030,1.1650699195359209
AUT,2031,1.1837110382484957
AUT,2032,1.2026504148604715
AUT,2033,1.2218928214982392
AZE,2017,1
AZE,2018,1.015004017
AZE,2019,1.0378416073825
AZE,2020,1.0151768850619585
AZE,2021,1.022352345123654
AZE,2022,1.039337151848215
AZE,2023,1.0587268573804767
AZE,2024,1.0806934058568287
AZE,2025,1.1033192093425679
AZE,2026,1.1264187151573868
AZE,2027,1.1500018409113588
AZE,2028,1.1740787118533713
AZE,2029,1.1986596652183292
AZE,2030,1.2237552546653743
AZE,2031,1.2493762548090246
AZE,2032,1.2755336658451781
AZE,2033,1.3022387182739712
BHS,2017,1
BHS,2018,1.015657211
BHS,2019,1.0339473417643854
BHS,2020,0.947866175763683
BHS,2021,1.0112713385704757
BHS,2022,1.0365285157805275
BHS,2023,1.0548811974298995
BHS,2024,1.0708741405016085
BHS,2025,1.087106444298087
BHS,2026,1.1035847972581188
BHS,2027,1.1203129289934484
BHS,2028,1.1372946256492535
BHS,2029,1.154533730761077
BHS,2030,1.172034146124751
BHS,2031,1.189799832679505
BHS,2032,1.207834811404462
BHS,2033,1.226143164228722
BHR,2017,1
BHR,2018,1.016616002
BHR,2019,1.033552331534559
BHR,2020,1.0118937814629123
BHR,2021,1.043039653487284
BHR,2022,1.0686460923623782
BHR,2023,1.0975523076688494
BHR,2024,1.1301100971284335
BHR,2025,1.1647400924778228
BHR,2026,1.2004312557443435
BHR,2027,1.2372161043261927
BHR,2028,1.2751281520531113
BHR,2029,1.314201939720063
BHR,2030,1.3544730665565594
BHR,2031,1.395978222660298
BHR,2032,1.4387552224246678
BHR,2033,1.4828430389905731
BGD,2017,1
BGD,2018,1.080136677
BGD,2019,1.1652404211124012
BGD,2020,1.188763421968743
BGD,2021,1.3020650961387246
BGD,2022,1.3967977523517996
BGD,2023,1.498763988273481
BGD,2024,1.608173759417445
BGD,2025,1.7247380418598277
BGD,2026,1.8497511824319623
BGD,2027,1.9838255745892106
BGD,2028,2.127617999530037
BGD,2029,2.2818328435258466
BGD,2030,2.4472255484505947
BGD,2031,2.6246063124130314
BGD,2032,2.8148440586196335
BGD,2033,3.018870691910217
BRB,2017,1
BRB,2018,0.994169899
BRB,2019,0.9931929878904465
BRB,2020,0.9177103208107726
BRB,2021,0.9828677535883374
BRB,2022,1.0213801222471874
BRB,2023,1.0401735164965356
BRB,2024,1.0593127092000718
BRB,2025,1.0788040630493532
BRB,2026,1.0986540578094612
BRB,2027,1.1188692924731554
BRB,2028,1.1394564874546613
BRB,2029,1.160422486823827
BRB,2030,1.1817742605813855
BRB,2031,1.2035189069760828
BRB,2032,1.2256636548644428
BRB,2033,1.2482158661139484
BLR,2017,1
BLR,2018,1.031491976
BLR,2019,1.043869879712
BLR,2020,0.9827831373300636
BLR,2021,1.021259444078983
BLR,2022,1.0357642183491311
BLR,2023,1.036100790967648
BLR,2024,1.030444055717451
BLR,2025,1.0366872225744872
BLR,2026,1.0429682150002075
BLR,2027,1.0492872621689524
BLR,2028,1.0556445946435644
BLR,2029,1.0620404443838003
BLR,2030,1.068475044754795
BLR,2031,1.0749486305355767
BLR,2032,1.081461437927632
BLR,2033,1.0880137045635256
BEL,2017,1
BEL,2018,1.014581261
BEL,2019,1.0284321843629578
BEL,2020,0.9922180800158311
BEL,2021,1.023683112240076
BEL,2022,1.0374503971115756
BEL,2023,1.05145537160155
BEL,2024,1.0656239672084287
BEL,2025,1.0796327227531648
BEL,2026,1.0938256382248086
BEL,2027,1.1082051346006248
BEL,2028,1.1227736646841877
BEL,2029,1.1375337135237722
BEL,2030,1.152487798836245
BEL,2031,1.1676384714365264
BEL,2032,1.182988315672701
BEL,2033,1.1985399498668452
BLZ,2017,1
BLZ,2018,1.02080136
BLZ,2019,1.0238358645580299
BLZ,2020,0.9215355763643315
BLZ,2021,0.9967328609649495
BLZ,2022,1.0169355446342263
BLZ,2023,1.0373442369633503
BLZ,2024,1.0529676339104532
BLZ,2025,1.0688496363409088
BLZ,2026,1.0849711883957571
BLZ,2027,1.1013359032228236
BLZ,2028,1.1179474484673573
BLZ,2029,1.1348095470940185
BLZ,2030,1.151925978221268
BLZ,2031,1.1693005779683396
BLZ,2032,1.1869372403149865
BLZ,2033,1.2048399179741973
BEN,2017,1
BEN,2018,1.066972536
BEN,2019,1.1357518647238969
BEN,2020,1.2084183286854215
BEN,2021,1.2889072356225455
BEN,2022,1.3747227438156564
BEN,2023,1.4662655615702413
BEN,2024,1.56396694441377
BEN,2025,1.6680586177000576
BEN,2026,1.779078235650547
BEN,2027,1.8974868958319786
BEN,2028,2.0237763847060477
BEN,2029,2.1584712201651746
BEN,2030,2.302130830011664
BEN,2031,2.4553518754281236
BEN,2032,2.618770729089215
BEN,2033,2.7930661182070615
BTN,2017,1
BTN,2018,1.0373372810000001
BTN,2019,1.0926779459044826
BTN,2020,1.1246115910875727
BTN,2021,1.1586075974572223
BTN,2022,1.2275671731973683
BTN,2023,1.309106844686127
BTN,2024,1.4175518641193499
BTN,2025,1.5046368281836018
BTN,2026,1.5970717135862054
BTN,2027,1.6951851839332615
BTN,2028,1.7993260937382034
BTN,2029,1.9098647288169335
BTN,2030,2.0271941228845933
BTN,2031,2.151731455035288
BTN,2032,2.283919533073674
BTN,2033,2.4242283679725847
BOL,2017,1
BOL,2018,1.042236235
BOL,2019,1.07141884958
BOL,2020,1.03713344639344
BOL,2021,1.0672103163388498
BOL,2022,1.1195036218394534
BOL,2023,1.1698812848222286
BOL,2024,1.213166892360651
BOL,2025,1.258054067377995
BOL,2026,1.3046020678709807
BOL,2027,1.3528723443822068
BOL,2028,1.4029286211243484
BOL,2029,1.4548369801059493
BOL,2030,1.5086659483698692
BOL,2031,1.5644865884595542
BOL,2032,1.6223725922325576
BOL,2033,1.6824003781451622
BIH,2017,1
BIH,2018,1.036235495
BIH,2019,1.0642138533649999
BIH,2020,1.0110031606967498
BIH,2021,1.0463882713211359
BIH,2022,1.0756871429181278
BIH,2023,1.1068820700627533
BIH,2024,1.138981650094573
BIH,2025,1.1731510995974104
BIH,2026,1.2083456325853328
BIH,2027,1.2445960015628927
BIH,2028,1.2819338816097796
BIH,2029,1.3203918980580729
BIH,2030,1.3600036549998151
BIH,2031,1.4008037646498097
BIH,2032,1.442827877589304
BIH,2033,1.4861127139169832
BWA,2017,1
BWA,2018,1.044535324
BWA,2019,1.079631697307441
BWA,2020,1.0563006879060821
BWA,2021,1.1207617236430374
BWA,2022,1.1814657706368685
BWA,2023,1.2277098555387138
BWA,2024,1.2758958259205313
BWA,2025,1.325840711886774
BWA,2026,1.3777406882165903
BWA,2027,1.4316722868362384
BWA,2028,1.4877150355108621
BWA,2029,1.5459515751164732
BWA,2030,1.606467781502538
BWA,2031,1.6693528921248724
BWA,2032,1.734699637635573
BWA,2033,1.8026043786240333
BRA,2017,1
BRA,2018,1.013124911
BRA,2019,1.0246003316906687
BRA,2020,1.0099166726557736
BRA,2021,1.0282493688609917
BRA,2022,1.0539424240103559
BRA,2023,1.080266296009332
BRA,2024,1.1065614198097045
BRA,2025,1.1313885494076825
BRA,2026,1.156772707610707
BRA,2027,1.1827263920724282
BRA,2028,1.2092623808474399
BRA,2029,1.2363937386824364
BRA,2030,1.2641338234485187
BRA,2031,1.2924962927178172
BRA,2032,1.3214951104876702
BRA,2033,1.3511445540556684
BRN,2017,1
BRN,2018,1.000534153
BRN,2019,1.039244988469842
BRN,2020,1.0527226782076504
BRN,2021,1.0899987650138492
BRN,2022,1.1298970460184543
BRN,2023,1.1555853706091825
BRN,2024,1.1778680194754179
BRN,2025,1.1994100300155837
BRN,2026,1.2213460220633883
BRN,2027,1.2436832011407153
BRN,2028,1.2664289045511299
BRN,2029,1.2895906037900322
BRN,2030,1.313175906998889
BRN,2031,1.3371925614643534
BRN,2032,1.3616484561630866
BRN,2033,1.3865516243531266
BGR,2017,1
BGR,2018,1.030841898
BGR,2019,1.0655979232134623
BGR,2020,1.0581387377509681
BGR,2021,1.1220503175111265
BGR,2022,1.157282697480976
BGR,2023,1.1924640914843976
BGR,2024,1.227522535774039
BGR,2025,1.2623841757900216
BGR,2026,1.2982358863824583
BGR,2027,1.33510578555572
BGR,2028,1.3730227898655025
BGR,2029,1.4120166370976828
BGR,2030,1.4521179095912569
BGR,2031,1.4933580582236485
BGR,2032,1.5357694270772002
BGR,2033,1.5793852788061926
BFA,2017,1
BFA,2018,1.068207327
BFA,2019,1.1289733583216488
BFA,2020,1.1515068717565047
BFA,2021,1.2183411516176517
BFA,2022,1.2863499050070473
BFA,2023,1.3582475026423326
BFA,2024,1.4341387383807738
BFA,2025,1.5150017361638586
BFA,2026,1.6004241424863501
BFA,2027,1.6906630366898399
BFA,2028,1.7859899933705792
BFA,2029,1.8866918996851634
BFA,2030,1.9930718187394794
BFA,2031,2.1054499016592843
BFA,2032,2.224164351087306
BFA,2033,2.3495724390065074
BDI,2017,1
BDI,2018,1.001488441
BDI,2019,1.005684046630072
BDI,2020,1.0107124668632224
BDI,2021,1.0157660291975383
BDI,2022,1.020844859343526
BDI,2023,1.0259490836402436
BDI,2024,1.0310788290584447
BDI,2025,1.0362342232037367
BDI,2026,1.0414153943197553
BDI,2027,1.0466224712913539
BDI,2028,1.0518555836478107
BDI,2029,1.0571148615660495
BDI,2030,1.0624004358738797
BDI,2031,1.067712438053249
BDI,2032,1.0730510002435152
BDI,2033,1.0784162552447325
CPV,2017,1
CPV,2018,1.050775508
CPV,2019,1.108127166220925
CPV,2020,1.0639825358648527
CPV,2021,1.117025322128258
CPV,2022,1.1727085127855261
CPV,2023,1.2314004195849038
CPV,2024,1.2930425058109043
CPV,2025,1.3580562019912643
CPV,2026,1.426338762630478
CPV,2027,1.4980545450175187
CPV,2028,1.5733761702647087
CPV,2029,1.6524849388096827
CPV,2030,1.7355712668086363
CPV,2031,1.8228351444712632
CPV,2032,1.9144866174406046
CPV,2033,2.0107462923764965
KHM,2017,1
KHM,2018,1.075326231
KHM,2019,1.151083652182738
KHM,2020,1.132813270295521
KHM,2021,1.2014228026911304
KHM,2022,1.2810912043719946
KHM,2023,1.3649853374078178
KHM,2024,1.453669762909937
KHM,2025,1.5481161018268752
KHM,2026,1.6486987112795346
KHM,2027,1.755816270735212
KHM,2028,1.8698933622541105
KHM,2029,1.9913821534060017
KHM,2030,2.120764189527625
KHM,2031,2.2585523024247913
KHM,2032,2.405292643084721
KHM,2033,2.5615668464556767
CMR,2017,1
CMR,2018,1.040624868
CMR,2019,1.0811084096272898
CMR,2020,1.10140533783358
CMR,2021,1.1356324625237808
CMR,2022,1.1795269716192835
CMR,2023,1.2282179216769806
CMR,2024,1.2849307552475335
CMR,2025,1.3471014308378546
CMR,2026,1.4122802007457658
CMR,2027,1.4806126099784205
CMR,2028,1.5522512456589663
CMR,2029,1.6273560777554978
CMR,2030,1.7060948162959912
CMR,2031,1.7886432858668926
CMR,2032,1.8751858182316146
CMR,2033,1.965915663945666
CAN,2017,1
CAN,2018,1.020136392
CAN,2019,1.036828655271744
CAN,2020,1.0247008974485756
CAN,2021,1.038087800036528
CAN,2022,1.0555412947890779
CAN,2023,1.073485496800492
CAN,2024,1.0917347502461003
CAN,2025,1.1102942410002838
CAN,2026,1.1291692430972886
CAN,2027,1.1483651202299425
CAN,2028,1.1678873272738515
CAN,2029,1.1877414118375067
CAN,2030,1.2079330158387442
CAN,2031,1.2284678771080029
CAN,2032,1.2493518310188387
CAN,2033,1.2705908121461589
CAF,2017,1
CAF,2018,1.03819789
CAF,2019,1.069035302318435
CAF,2020,1.0801923822571526
CAF,2021,1.1232847713314025
CAF,2022,1.1796114346293374
CAF,2023,1.2387050756556477
CAF,2024,1.300712579389378
CAF,2025,1.365157269920491
CAF,2026,1.4327949165308025
CAF,2027,1.503783716403659
CAF,2028,1.578289704709589
CAF,2029,1.6564871429447143
CAF,2030,1.7385589265096544
CAF,2031,1.824697012482204
CAF,2032,1.9151028685843001
CAF,2033,2.0099879443933624
TCD,2017,1
TCD,2018,1.023026025
TCD,2019,1.0533223166844998
TCD,2020,1.088993910116973
TCD,2021,1.15232882781379
TCD,2022,1.2139783210015487
TCD,2023,1.2637032857824013
TCD,2024,1.3105806308647057
TCD,2025,1.3597293350074016
TCD,2026,1.4107211879514896
TCD,2027,1.4636253104919805
TCD,2028,1.5185134155555122
TCD,2029,1.5754599054091052
TCD,2030,1.6345419725143873
TCD,2031,1.6958397041640025
TCD,2032,1.7594361910420369
TCD,2033,1.8254176398556228
CHL,2017,1
CHL,2018,1.039389582
CHL,2019,1.051069722427725
CHL,2020,0.987913295101082
CHL,2021,1.0324317623227768
CHL,2022,1.0657550791372044
CHL,2023,1.092761352275479
CHL,2024,1.1204768147674606
CHL,2025,1.1486981858676315
CHL,2026,1.1776303666662067
CHL,2027,1.2072912602773027
CHL,2028,1.237699220739519
CHL,2029,1.26887306437334
CHL,2030,1.3008320814245968
CHL,2031,1.3335960480011926
CHL,2032,1.3671852383104752
CHL,2033,1.4016204372048346
CHN,2017,1
CHN,2018,1.067497711
CHN,2019,1.1327231053418463
CHN,2020,1.1460996205248635
CHN,2021,1.2516102438345533
CHN,2022,1.3230244534114926
CHN,2023,1.3971881304709621
CHN,2024,1.4740999502693601
CHN,2025,1.553791155649276
CHN,2026,1.6377905412267038
CHN,2027,1.7263310112038797
CHN,2028,1.8196580607994157
CHN,2029,1.9180304569302804
CHN,2030,2.0217209556920737
CHN,2031,2.1310170586269503
CHN,2032,2.2462218098760856
CHN,2033,2.3676546364269395
COL,2017,1
COL,2018,1.025153245
COL,2019,1.059210526276601
COL,2020,1.0339353820143782
COL,2021,1.0726575917117178
COL,2022,1.1134459447645855
COL,2023,1.1573157149883102
COL,2024,1.2017566384438614
COL,2025,1.2479040933601055
COL,2026,1.2958236105451335
COL,2027,1.3455832371900667
COL,2028,1.3972536334981653
COL,2029,1.4509081730244948
COL,2030,1.5066230468686355
COL,2031,1.564477371868391
COL,2032,1.6245533029481372
COL,2033,1.6869361497813455
COM,2017,1
COM,2018,1.036390123
COM,2019,1.0557240709105058
COM,2020,1.0434780179654393
COM,2021,1.0757829443584392
COM,2022,1.1144646221070924
COM,2023,1.1558034739374157
COM,2024,1.1995486832738795
COM,2025,1.2456613211115468
COM,2026,1.2935466051102227
COM,2027,1.3432726787238376
COM,2028,1.394910304953538
COM,2029,1.4485329670474172
COM,2030,1.5042169730713133
COM,2031,1.562041564499482
COM,2032,1.622089028979673
COM,2033,1.6844448174330837
COD,2017,1
COD,2018,1.058155574
COD,2019,1.1045084852508105
COD,2020,1.0797836651854165
COD,2021,1.118027531581214
COD,2022,1.1681014836931485
COD,2023,1.218782194791514
COD,2024,1.2770128670174965
COD,2025,1.3317854391578927
COD,2026,1.3889072708369825
COD,2027,1.4484791245379658
COD,2028,1.5106060845645375
COD,2029,1.5753977424088113
COD,2030,1.6429683900698908
COD,2031,1.7134372216640996
COD,2032,1.7869285436825106
COD,2033,1.8635719942666642
COG,2017,1
COG,2018,1.015902302
COG,2019,1.0067365439310045
COG,2020,0.9802998053786965
COG,2021,1.0149263335000078
COG,2022,1.0466674461616396
COG,2023,1.0403231279567728
COG,2024,1.037067141276064
COG,2025,1.030589652060735
COG,2026,1.024152621042243
COG,2027,1.0177557955199443
COG,2028,1.0113989243715564
COG,2029,1.0050817580432985
COG,2030,0.9988040485400945
COG,2031,0.9925655494158386
COG,2032,0.9863660157637194
COG,2033,0.9802052042066057
CRI,2017,1
CRI,2018,1.026603753
CRI,2019,1.0487388482616309
CRI,2020,1.0342515897377829
CRI,2021,1.0644360703492963
CRI,2022,1.0968935915961477
CRI,2023,1.1304659581779242
CRI,2024,1.1666788830183934
CRI,2025,1.2071023252942372
CRI,2026,1.248926371205934
CRI,2027,1.2921995492912413
CRI,2028,1.3369720695193479
CRI,2029,1.3832958815496192
CRI,2030,1.4312247350089065
CRI,2031,1.4808142418573649
CRI,2032,1.5321219409151399
CRI,2033,1.5852073646247937
CIV,2017,1
CIV,2018,1.06793488
CIV,2019,1.14162238672
CIV,2020,1.1827207926419199
CIV,2021,1.2856175016017668
CIV,2022,1.3816529001315034
CIV,2023,1.4714171675135335
CIV,2024,1.5655377850796863
CIV,2025,1.6625528716179396
CIV,2026,1.7655799031285373
CIV,2027,1.8749914348875727
CIV,2028,1.9911831091146135
CIV,2029,2.1145750856515644
CIV,2030,2.245613561299521
CIV,2031,2.3847723833076784
CIV,2032,2.5325547628488114
CIV,2033,2.6894950946774276
HRV,2017,1
HRV,2018,1.026949725
HRV,2019,1.056928785400358
HRV,2020,0.9747314908339265
HRV,2021,1.0226747284910385
HRV,2022,1.0582449059228454
HRV,2023,1.0818746818333613
HRV,2024,1.1036771905696245
HRV,2025,1.1252003791278764
HRV,2026,1.1471432987901797
HRV,2027,1.1695141348771818
HRV,2028,1.1923212323342842
HRV,2029,1.215573098844539
HRV,2030,1.2392784080022523
HRV,2031,1.2634460025484766
HRV,2032,1.2880848976695993
HRV,2033,1.3132042843602592
CYP,2017,1
CYP,2018,1.040570462
CYP,2019,1.0741812427571276
CYP,2020,1.0255647439152524
CYP,2021,1.0792901878052046
CYP,2022,1.1213358819520747
CYP,2023,1.1538031520903673
CYP,2024,1.1824165449120805
CYP,2025,1.2115463082402271
CYP,2026,1.241393706242216
CYP,2027,1.2719764184137337
CYP,2028,1.3033125597987738
CYP,2029,1.335420691719714
CYP,2030,1.3683198327717343
CYP,2031,1.4020294700880944
CYP,2032,1.4365695708829371
CYP,2033,1.4719605942784602
CZE,2017,1
CZE,2018,1.028460577
CZE,2019,1.0536473245578886
CZE,2020,1.0327337432782175
CZE,2021,1.0841256808068414
CZE,2022,1.1113812985992637
CZE,2023,1.1392775504465247
CZE,2024,1.1678269332993965
CZE,2025,1.1970420462790132
CZE,2026,1.2269880233978911
CZE,2027,1.257683148425476
CZE,2028,1.2891461625298017
CZE,2029,1.3213962757200683
CZE,2030,1.3544531785754756
CZE,2031,1.3883370542674733
CZE,2032,1.4230685908827656
CZE,2033,1.4586689940545987
DNK,2017,1
DNK,2018,1.023893805
DNK,2019,1.0469518187443523
DNK,2020,1.0239188787319764
DNK,2021,1.0577082017301316
DNK,2022,1.076746949361274
DNK,2023,1.0961283944497768
DNK,2024,1.1153106413526481
DNK,2025,1.1351631707687253
DNK,2026,1.1553690752084087
DNK,2027,1.1759346447471184
DNK,2028,1.196866281423617
DNK,2029,1.2181705012329576
DNK,2030,1.2398539361549041
DNK,2031,1.2619233362184616
DNK,2032,1.2843855716031503
DNK,2033,1.3072476347776862
DJI,2017,1
DJI,2018,1.084076627
DJI,2019,1.1653632454929166
DJI,2020,1.200324142857704
DJI,2021,1.3023516950006089
DJI,2022,1.3935163136506514
DJI,2023,1.4840948740379438
DJI,2024,1.5731405664802205
DJI,2025,1.6675290004690337
DJI,2026,1.767580740497176
DJI,2027,1.8736355849270065
DJI,2028,1.9860537200226271
DJI,2029,2.1052169432239847
DJI,2030,2.231529959817424
DJI,2031,2.3654217574064695
DJI,2032,2.5073470628508576
DJI,2033,2.6577878866219096
DMA,2017,1
DMA,2018,1.005327385
DMA,2019,1.1008186700599998
DMA,2020,1.051798881134171
DMA,2021,1.0846031840061332
DMA,2022,1.1230562909734703
DMA,2023,1.1518071294883379
DMA,2024,1.1707768365881672
DMA,2025,1.1883385031863118
DMA,2026,1.2061635949941685
DMA,2027,1.2242560633930442
DMA,2028,1.2426199190350127
DMA,2029,1.261259232731977
DMA,2030,1.2801781363580673
DMA,2031,1.299380823765576
DMA,2032,1.3188715517146294
DMA,2033,1.3386546408168076
DOM,2017,1
DOM,2018,1.069825276
DOM,2019,1.1238960341969015
DOM,2020,1.1469236490594772
DOM,2021,1.1985914194074994
DOM,2022,1.258877850596949
DOM,2023,1.3213561484126308
DOM,2024,1.3874239558332624
DOM,2025,1.4567951536249255
DOM,2026,1.5296349113061718
